_key,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,divisão,discount,ccu,,,
204630,204630,Retro City Rampage DX,"Vblank Entertainment, Inc.","Vblank Entertainment, Inc.",,2031,270,0,"200,000 .. 500,000",285,0,282,0,1499,1499,"14,99",0,1,,,
207020,207020,Bang Bang Racing,Digital Reality Software & Playbox,HandyGames,,440,99,0,"50,000 .. 100,000",0,0,0,0,999,999,"9,99",0,0,,,
207140,207140,SpeedRunners,DoubleDutch Games,tinyBuild,,31036,2028,0,"2,000,000 .. 5,000,000",751,103,241,107,1499,1499,"14,99",0,351,,,
207190,207190,Fireburst,exDream,Strategy First,,88,74,0,"20,000 .. 50,000",0,0,0,0,199,999,"9,99",80,1,,,
208500,208500,F1 2012,Codemasters,"Codemasters, Electronic Arts",,3482,273,0,"200,000 .. 500,000",1377,0,1227,0,0,0,0,0,64,,,
209520,209520,Mini Motor Racing EVO,The Binary Mill,The Binary Mill,,434,235,0,"50,000 .. 100,000",266,0,384,0,0,0,0,0,1,,,
211500,211500,RaceRoom Racing Experience,KW Studios,"KW Studios, RaceRoom Entertainment AG",,12497,4687,0,"2,000,000 .. 5,000,000",892,0,36,0,0,0,0,0,582,,,
211970,211970,Test Drive: Ferrari Racing Legends,Slightly Mad Studios,Evolved Games,,167,121,0,"20,000 .. 50,000",5,0,5,0,1999,1999,"19,99",0,0,,,
212480,212480,Sonic & All-Stars Racing Transformed Collection,Sumo Digital,SEGA,,14084,925,0,"500,000 .. 1,000,000",581,0,171,0,1999,1999,"19,99",0,79,,,
213610,213610,Sonic Adventure 2,SEGA,SEGA,,12786,1860,0,"500,000 .. 1,000,000",862,41,236,41,999,999,"9,99",0,331,,,
220160,220160,Trials Evolution: Gold Edition,"Redlynx Ltd, Ubisoft  Shanghaï",Ubisoft,,1590,463,0,"200,000 .. 500,000",1261,0,551,0,1999,1999,"19,99",0,10,,,
220820,220820,Zombie Driver HD,Exor Studios,Exor Studios,,2863,587,0,"200,000 .. 500,000",106,1,70,1,999,999,"9,99",0,4,,,
222500,222500,Rail Adventures - VR Tech Demo,exosyphen studios,exosyphen studios,,19,20,0,"20,000 .. 50,000",3,0,3,0,0,0,0,0,0,,,
223450,223450,Dyad,][ Games Inc,Shawn McGrath,,173,53,0,"20,000 .. 50,000",2,0,2,0,1499,1499,"14,99",0,0,,,
224040,224040,LocoCycle,Twisted Pixel Games,Xbox Game Studios,,242,64,0,"20,000 .. 50,000",0,0,0,0,999,999,"9,99",0,1,,,
226580,226580,F1 2014,Codemasters,"Codemasters, Electronic Arts",,2388,442,0,"200,000 .. 500,000",473,0,526,0,0,0,0,0,51,,,
226780,226780,MUD Motocross World Championship,Milestone S.r.l.,BANDAI NAMCO Entertainment,,66,50,0,"20,000 .. 50,000",0,0,0,0,999,999,"9,99",0,2,,,
227300,227300,Euro Truck Simulator 2,SCS Software,SCS Software,,545408,15051,0,"10,000,000 .. 20,000,000",6570,347,1824,111,1999,1999,"19,99",0,31736,,,
228380,228380,Wreckfest,Bugbear,THQ Nordic,,26701,3983,0,"1,000,000 .. 2,000,000",1091,431,420,431,2999,2999,"29,99",0,884,,,
228760,228760,TrackMania² Canyon,Nadeo,Ubisoft,,1384,321,0,"100,000 .. 200,000",390,0,283,0,1999,1999,"19,99",0,23,,,
229890,229890,Joe Danger,Hello Games,Hello Games,,92,18,0,"0 .. 20,000",276,0,276,0,1499,1499,"14,99",0,1,,,
232010,232010,Euro Truck Simulator,SCS Software,SCS Software,,5274,1135,0,"1,000,000 .. 2,000,000",166,11,58,11,499,499,"4,99",0,18,,,
232910,232910,TrackMania² Stadium,Nadeo,Ubisoft,,5460,704,0,"500,000 .. 1,000,000",746,0,399,0,999,999,"9,99",0,137,,,
233610,233610,Distance,Refract,Refract,,6016,462,0,"200,000 .. 500,000",733,0,178,0,2499,2499,"24,99",0,16,,,
234140,234140,Mad Max,Avalanche Studios,"Warner Bros. Games, Warner Bros. Interactive Entertainment",,58094,5326,0,"2,000,000 .. 5,000,000",1259,0,695,0,1999,1999,"19,99",0,925,,,
234490,234490,Rush Bros.,XYLA Entertainment,Digital Tribe,,536,342,0,"100,000 .. 200,000",164,0,201,0,999,999,"9,99",0,0,,,
234630,234630,Project CARS,Slightly Mad Studios,"Codemasters, Slightly Mad Studios, Electronic Arts",,10866,2950,0,"1,000,000 .. 2,000,000",878,0,310,0,1499,1499,"14,99",0,146,,,
235800,235800,Audiosurf 2,Dylan Fitterer,Dylan Fitterer,,4664,1019,0,"200,000 .. 500,000",504,0,168,0,1499,1499,"14,99",0,24,,,
240600,240600,MotoGP13,Milestone S.r.l.,"Plug In Digital, Milestone S.r.l.",,660,202,0,"100,000 .. 200,000",0,0,0,0,999,999,"9,99",0,4,,,
241560,241560,The Crew,Ivory Tower in collaboration with Ubisoft Reflections,Ubisoft,,10418,4705,0,"500,000 .. 1,000,000",2599,0,1689,0,2999,2999,"29,99",0,39,,,
242110,242110,Joe Danger 2: The Movie,Hello Games,Hello Games,,225,153,0,"100,000 .. 200,000",78,0,90,0,1499,1499,"14,99",0,0,,,
243360,243360,TrackMania² Valley,Nadeo,Ubisoft,,423,102,0,"100,000 .. 200,000",14,0,10,0,1999,1999,"19,99",0,5,,,
243450,243450,Urban Trial Freestyle,Tate Multimedia,Tate Multimedia,,1266,271,0,"100,000 .. 200,000",139,0,138,0,69,699,"6,99",90,5,,,
243800,243800,Gas Guzzlers Extreme,Gamepires,Gamepires,,3062,491,0,"200,000 .. 500,000",212,0,152,0,999,2499,"24,99",60,9,,,
244210,244210,Assetto Corsa,Kunos Simulazioni,Kunos Simulazioni,,65051,5783,0,"2,000,000 .. 5,000,000",2367,145,325,57,1999,1999,"19,99",0,8238,,,
245490,245490,Trials Fusion,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",Ubisoft,,1409,642,0,"200,000 .. 500,000",1069,0,264,0,1999,1999,"19,99",0,8,,,
248330,248330,Dino Run DX,Pixeljam,Pixeljam,,1065,76,0,"50,000 .. 100,000",172,0,257,0,599,599,"5,99",0,8,,,
250340,250340,Blockland,"Eric Hartman, Ben Garney, Anthony Rotondo",Step 1 Games LLC,,4041,1501,0,"200,000 .. 500,000",1329,0,750,0,999,999,"9,99",0,33,,,
252950,252950,Rocket League,Psyonix LLC,Psyonix LLC,,492663,62303,0,"10,000,000 .. 20,000,000",17457,507,2299,223,0,0,0,0,32822,,,
253030,253030,Race The Sun,Flippfly LLC,Flippfly LLC,,5787,382,0,"500,000 .. 1,000,000",147,0,114,0,999,999,"9,99",0,12,,,
254940,254940,Free Running,Rebellion,Rebellion,,52,7,0,"0 .. 20,000",35,0,35,0,599,599,"5,99",0,1,,,
255220,255220,GRID Autosport,"Codemasters Racing, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)",,6542,1878,0,"500,000 .. 1,000,000",926,1,391,1,0,0,0,0,24,,,
256070,256070,Truck Racer,Kylotonn Entertainment,"Plug In Digital, Nacon",,203,63,0,"20,000 .. 50,000",6,0,6,0,249,999,"9,99",75,1,,,
256330,256330,WRC 4 FIA World Rally Championship,Milestone S.r.l.,Nacon,,994,396,0,"200,000 .. 500,000",408,10,738,10,99,999,"9,99",90,19,,,
256370,256370,MXGP - The Official Motocross Videogame,Milestone S.r.l.,"Plug In Digital, Milestone S.r.l.",,1037,277,0,"200,000 .. 500,000",99,0,148,0,99,999,"9,99",90,27,,,
256390,256390,MotoGP14,Milestone S.r.l.,"Plug In Digital, Milestone S.r.l.",,267,239,0,"20,000 .. 50,000",194,0,194,0,599,599,"5,99",0,1,,,
257790,257790,Riptide GP2,Vector Unit,Vector Unit,,409,47,0,"20,000 .. 50,000",183,0,297,0,699,699,"6,99",0,1,,,
259080,259080,Just Cause 2: Multiplayer Mod,Avalanche Studios,Square Enix,,13814,1245,0,"2,000,000 .. 5,000,000",1197,0,162,0,0,0,0,0,30,,,
262690,262690,Little Racers STREET,Milkstone Studios,Milkstone Studios,,849,178,0,"100,000 .. 200,000",70,0,97,0,599,599,"5,99",0,2,,,
263760,263760,Turbo Dismount,Secret Exit Ltd.,Secret Exit Ltd.,,4679,356,0,"200,000 .. 500,000",535,34,281,34,999,999,"9,99",0,28,,,
263980,263980,Out There Somewhere,MiniBoss,Senpai Studios,,6388,477,0,"200,000 .. 500,000",169,0,151,0,49,99,"0,99",51,19,,,
264080,264080,Vangers,K-D Lab,KranX Productions,,804,68,0,"100,000 .. 200,000",8,0,8,0,699,699,"6,99",0,6,,,
264120,264120,Victory: The Age of Racing,Vae Victis Games,Vae Victis Games,,636,654,0,"200,000 .. 500,000",46,0,52,0,0,0,0,0,16,,,
266370,266370,Calibre 10 Racing,Bongfish GmbH,Bongfish GmbH,,46,64,0,"0 .. 20,000",0,0,0,0,199,199,"1,99",0,0,,,
266410,266410,iRacing,"iRacing.com Motorsport Simulations, iRacing","iRacing.com Motorsport Simulations, iRacing",,2086,331,0,"100,000 .. 200,000",7074,1,12000,1,0,0,0,0,135,,,
267940,267940,Glacier 3: The Meltdown,Team 6 Studios,Funbox Media Ltd,,122,328,0,"50,000 .. 100,000",9,0,9,0,74,299,"2,99",75,0,,,
268360,268360,Krautscape,"Mario von Rickenbach, Playables","Midnight City, Majesco Entertainment",,158,78,0,"20,000 .. 50,000",25,0,36,0,699,699,"6,99",0,0,,,
269430,269430,Burning Cars,Polynetix Studio,Polynetix Studio,,4,34,0,"100,000 .. 200,000",272,0,276,0,599,599,"5,99",0,0,,,
270450,270450,Robot Roller-Derby Disco Dodgeball,Erik Asmussen,82 Apps,,3536,287,0,"200,000 .. 500,000",157,0,82,0,999,999,"9,99",0,5,,,
270810,270810,Jones On Fire,Glass Bottom Games,Glass Bottom Games,,130,82,0,"50,000 .. 100,000",193,0,233,0,299,299,"2,99",0,1,,,
270850,270850,Car Mechanic Simulator 2014,"PlayWay S.A., Red Dot Games",PlayWay S.A.,,4021,830,0,"500,000 .. 1,000,000",169,0,120,0,699,699,"6,99",0,6,,,
271590,271590,Grand Theft Auto V,Rockstar North,Rockstar Games,,1165487,209676,0,"20,000,000 .. 50,000,000",12041,666,5905,175,2998,2998,"29,98",0,112958,,,
272920,272920,Rail Adventures,exosyphen studios,exosyphen studios,,0,2,0,"0 .. 20,000",0,0,0,0,599,599,"5,99",0,0,,,
273730,273730,Driving School Simulator,Ovilex Software,United Independent Entertainment,,47,148,0,"20,000 .. 50,000",0,0,0,0,1499,1499,"14,99",0,1,,,
273750,273750,Formula Truck 2013,Reiza Studios,Reiza Studios,,151,38,0,"0 .. 20,000",109,0,109,0,999,999,"9,99",0,2,,,
273840,273840,Stock Car Extreme,Reiza Studios,Reiza Studios,,480,70,0,"20,000 .. 50,000",135,0,258,0,1499,1499,"14,99",0,1,,,
274560,274560,Revolution Ace,"Laser Guided Games, LLC","Laser Guided Games, LLC",,1384,536,0,"200,000 .. 500,000",171,0,153,0,499,499,"4,99",0,0,,,
274880,274880,Jet Car Stunts,GRIP Digital s.r.o.,bitComposer Games,,114,42,0,"50,000 .. 100,000",0,0,0,0,299,299,"2,99",0,1,,,
279520,279520,Rage Runner,Hypercane Studios,Plug In Digital,,26,25,0,"0 .. 20,000",221,0,221,0,99,499,"4,99",80,0,,,
280180,280180,Hover,"Midgar Studio, Fusty Game",Dear Villagers,,1581,374,0,"200,000 .. 500,000",513,0,898,0,399,1999,"19,99",80,9,,,
280500,280500,KRUNCH,LeGrudge &amp, Rugged,LeGrudge &amp, Rugged,,34,16,0,"0 .. 20,000",55,0,55,0,0,999,999,0,0,
280910,280910,T.E.C. 3001,Phoenix Game Studio,BulkyPix,,350,41,0,"20,000 .. 50,000",116,0,116,0,0,0,0,0,0,,,
281280,281280,Mashed,Supersonic Software,Strategy First,,348,95,0,"50,000 .. 100,000",1,0,1,0,99,499,"4,99",80,0,,,
281920,281920,Splatter - Zombiecalypse Now,Dreamworlds,1999UEM,,2035,225,0,"200,000 .. 500,000",209,0,205,0,699,699,"6,99",0,1,,,
282010,282010,Carmageddon Max Pack,Stainless Games Ltd,THQ Nordic,,604,78,0,"100,000 .. 200,000",100,0,121,0,999,999,"9,99",0,3,,,
282030,282030,Carmageddon 2: Carpocalypse Now,Stainless Games Ltd,THQ Nordic,,597,84,0,"50,000 .. 100,000",618,0,987,0,999,999,"9,99",0,3,,,
282050,282050,MX vs. ATV Supercross Encore,"Rainbow Studios, THQ Nordic",THQ Nordic,,438,294,0,"20,000 .. 50,000",3173,0,4155,0,2999,2999,"29,99",0,8,,,
284160,284160,BeamNG.drive,BeamNG,BeamNG,,126077,4171,0,"2,000,000 .. 5,000,000",4930,241,777,107,2499,2499,"24,99",0,9627,,,
284290,284290,Farm Machines Championships 2014,Silden,Silden,,47,74,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,0,,,
284930,284930,Speed Kills,"Holy Warp, Black Wing Foundation",Holy Warp,,200,206,0,"100,000 .. 200,000",204,0,295,0,499,499,"4,99",0,0,,,
285110,285110,GearCity,Visual Entertainment And Technologies,Visual Entertainment And Technologies,,994,137,0,"20,000 .. 50,000",1517,66,361,66,1999,1999,"19,99",0,50,,,
285380,285380,On The Road - Truck Simulator,toxtronyx interactive GmbH,Aerosoft GmbH,,478,495,0,"20,000 .. 50,000",1229,0,1229,0,2999,2999,"29,99",0,7,,,
285500,285500,Hard Truck Apocalypse / Ex Machina,Targem Games,Buka Entertainment,,1717,332,0,"100,000 .. 200,000",1125,31,1523,31,799,799,"7,99",0,27,,,
285520,285520,Sledgehammer / Gear Grinder,Targem Games,Buka Entertainment,,93,32,0,"20,000 .. 50,000",156,0,156,0,799,799,"7,99",0,1,,,
285820,285820,Action Henk,RageSquid,RageSquid,,704,95,0,"100,000 .. 200,000",214,0,292,0,1499,1499,"14,99",0,1,,,
286240,286240,Dog Sled Saga,Trichotomy,Trichotomy,,572,51,0,"20,000 .. 50,000",138,0,138,0,799,799,"7,99",0,4,,,
286570,286570,F1 2015,"Codemasters, Feral Interactive (Linux)","Codemasters, Feral Interactive (Linux)",,5312,3133,0,"2,000,000 .. 5,000,000",386,0,384,0,0,0,0,0,76,,,
286810,286810,Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113,Targem Games,Buka Entertainment,,512,175,0,"50,000 .. 100,000",318,0,416,0,599,599,"5,99",0,15,,,
286830,286830,Hard Truck Apocalypse: Arcade / Ex Machina: Arcade,Targem Games,Buka Entertainment,,57,144,0,"20,000 .. 50,000",262,0,354,0,499,499,"4,99",0,0,,,
286880,286880,Disney Planes,Behaviour Interactive,Disney,,50,11,0,"0 .. 20,000",208,0,208,0,1999,1999,"19,99",0,2,,,
287260,287260,Toybox Turbos,Codemasters,"Codemasters, Electronic Arts",,1414,250,0,"100,000 .. 200,000",193,0,211,0,1499,1499,"14,99",0,6,,,
287340,287340,Colin McRae Rally,Codemasters Digital,Codemasters,,986,1296,0,"200,000 .. 500,000",109,0,145,0,0,0,0,0,2,,,
288650,288650,HTR+ Slot Car Simulation,QUByte Interactive,Libredia Entertainment,,34,20,0,"0 .. 20,000",0,0,0,0,699,699,"6,99",0,0,,,
288730,288730,Redneck Racers,"Play, Silden",Libredia,,26,35,0,"0 .. 20,000",11,0,11,0,199,199,"1,99",0,0,,,
289460,289460,RC Cars,Creat Studio,Fulqrum Publishing,,271,89,0,"50,000 .. 100,000",0,0,0,0,299,299,"2,99",0,1,,,
289760,289760,ROCKETSROCKETSROCKETS,"Radial Games Corp, Loren Bednar, Dr. Kimberly Voll, Lindsay Jorgensen",Radial Games Corp,,417,132,0,"200,000 .. 500,000",325,0,366,0,699,699,"6,99",0,1,,,
