_key,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu,,
331390,331390,Winged Sakura: Mindy's Arc,WINGED SAKURA GAMES,WINGED SAKURA GAMES,,140,36,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,1,,
331470,331470,Everlasting Summer,Soviet Games,Soviet Games,,55960,2542,0,"2,000,000 .. 5,000,000",1655,8,276,8,0,0,0,0,1187,,
332370,332370,Miko Gakkou Monogatari: Kaede Episode,xinoro,xinoro,,13,1,0,"0 .. 20,000",15,0,15,0,899,"8,99",899,0,0,,
333220,333220,Cherry Tree High I! My! Girls!,773,Nyu Media,,114,50,0,"20,000 .. 50,000",3,0,3,0,0,0,0,0,3,,
333390,333390,Tales of Aravorn: Seasons Of The Wolf,Winter Wolves,Winter Wolves,,50,13,0,"0 .. 20,000",165,0,165,0,2499,"24,99",2499,0,0,,
333600,333600,NEKOPARA Vol. 1,NEKO WORKs,Sekai Project,,24330,1143,0,"500,000 .. 1,000,000",562,3,138,3,999,"9,99",999,0,69,,
333980,333980,AKIBA'S TRIP: Undead ＆ Undressed,ACQUIRE Corp.,"XSEED Games, Marvelous USA, Inc.",,2610,394,0,"100,000 .. 200,000",529,0,751,0,1999,"19,99",1999,0,10,,
334260,334260,Icebound,Fastermind Games,Fastermind Games,,7,0,0,"0 .. 20,000",0,0,0,0,1499,"14,99",1499,0,0,,
334850,334850,1931: Scheherazade at the Library of Pergamum,"Black Chicken Studios, inc.","Black Chicken Studios, inc.",,116,45,0,"50,000 .. 100,000",338,0,338,0,499,"4,99",499,0,16,,
335200,335200,ManaCollect,Tazigen Clock,Fruitbat Factory,,43,26,0,"0 .. 20,000",0,0,0,0,699,"6,99",699,0,0,,
335660,335660,CAFE 0 ~The Drowned Mermaid~,ROSEVERTE MYSTERY,ROSEVERTE,,102,57,0,"20,000 .. 50,000",145,0,145,0,699,"6,99",699,0,0,,
335690,335690,dUpLicity ~Beyond the Lies~,ROSEVERTE,ROSEVERTE,,23,37,0,"20,000 .. 50,000",0,0,0,0,999,"9,99",999,0,0,,
337340,337340,Finding Paradise,Freebird Games,Freebird Games,,13561,289,0,"200,000 .. 500,000",195,1,222,1,999,"9,99",999,0,20,,
337420,337420,Final Dusk,Light Echo,Light Echo,,287,91,0,"100,000 .. 200,000",162,0,162,0,299,"2,99",299,0,0,,
337630,337630,Bermuda,InvertMouse,InvertMouse,,114,99,0,"20,000 .. 50,000",236,0,309,0,299,"2,99",299,0,0,,
337890,337890,Dysfunctional Systems: Orientation,Dischan Media,Dischan Media,,42,10,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,0,,
337930,337930,Nameless ~The one thing you must recall~,"Sujin Ri, Yunjeong Yun, Hyein Go, Minsu Ock, Marcos Arroyo, Seona Lee, Sohyeon Jeon",Cheritz,,647,45,0,"20,000 .. 50,000",0,0,0,0,2999,"29,99",2999,0,2,,
337940,337940,X-note,Zeiva Inc,Zeiva Inc,,124,127,0,"50,000 .. 100,000",0,0,0,0,1499,"14,99",1499,0,0,,
338290,338290,Molecats,Vidroid,Vidroid,,17,4,0,"0 .. 20,000",0,0,0,0,1299,"12,99",1299,0,0,,
339040,339040,Disney's Chicken Little,Avalanche Software,Disney,,293,112,0,"20,000 .. 50,000",380,1,391,1,999,"9,99",999,0,2,,
339350,339350,Choice of Robots,Choice of Games,Choice of Games,,1860,63,0,"50,000 .. 100,000",993,0,1038,0,599,"5,99",599,0,2,,
339800,339800,HuniePop,HuniePot,HuniePot,,26390,1002,0,"1,000,000 .. 2,000,000",667,0,523,0,999,"9,99",999,0,220,,
340320,340320,Sinless + OST,MGP Studios,Forever Entertainment S. A.,,176,72,0,"50,000 .. 100,000",127,0,155,0,499,"4,99",499,0,6,,
340500,340500,The Warriorlock,Fellstrike Games,Fellstrike Games,,25,7,0,"0 .. 20,000",0,0,0,0,199,"1,99",199,0,0,,
340730,340730,Sunrider Academy,Love in Space,Sekai Project,,957,187,0,"20,000 .. 50,000",435,0,373,0,999,"9,99",999,0,5,,
340800,340800,Unhack,InvertMouse,InvertMouse,,248,42,0,"20,000 .. 50,000",306,0,306,0,399,"3,99",399,0,0,,
342360,342360,Train of Afterlife,Zeiva Inc,Zeiva Inc,,90,91,0,"20,000 .. 50,000",0,0,0,0,999,"9,99",999,0,0,,
342380,342380,Sakura Angels,Winged Cloud,Winged Cloud,,1872,357,0,"200,000 .. 500,000",128,0,138,0,249,"9,99",999,75,2,,
342450,342450,Sword Daughter,Hanabira,Hanako Games,,58,55,0,"20,000 .. 50,000",0,0,0,0,499,"4,99",499,0,0,,
344500,344500,Three Fourths Home: Extended Edition,[bracket]games,Digerati,,120,74,0,"20,000 .. 50,000",0,0,0,0,499,"4,99",499,0,1,,
344630,344630,Princess Evangile All Ages Version,MOONSTONE,MangaGamer,,205,21,0,"50,000 .. 100,000",125,0,125,0,3499,"34,99",3499,0,2,,
344770,344770,fault - milestone two side:above,ALICE IN DISSONANCE,ALICE IN DISSONANCE,,2414,68,0,"50,000 .. 100,000",230,0,288,0,1499,"14,99",1499,0,1,,
345370,345370,TyranoBuilder Visual Novel Studio,STRIKEWORKS,STRIKEWORKS,,543,96,0,"20,000 .. 50,000",504,0,504,0,1499,"14,99",1499,0,27,,
345610,345610,The Fruit of Grisaia,Frontwing,Frontwing USA,,879,58,0,"50,000 .. 100,000",128,0,157,0,3999,"39,99",3999,0,12,,
345620,345620,The Labyrinth of Grisaia,Frontwing,Frontwing USA,,103,14,0,"0 .. 20,000",0,0,0,0,2999,"29,99",2999,0,1,,
345630,345630,The Eden of Grisaia,Frontwing,Frontwing USA,,80,3,0,"0 .. 20,000",0,0,0,0,2999,"29,99",2999,0,3,,
