_key,appid,name,developer,publisher,score_rank,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu,,
300580,300580,GALAK-Z,17-BIT,17-BIT,,507,370,137,0,"200,000 .. 500,000",258,0,342,0,1999,"19,99",1999,0,1,,
301840,301840,City of Brass,Uppercut Games Pty Ltd,Uppercut Games Pty Ltd,,692,549,143,0,"0 .. 20,000",96,0,108,0,1999,"19,99",1999,0,2,,
304650,304650,SUNLESS SEA,Failbetter Games,Failbetter Games,,8347,6961,1386,0,"500,000 .. 1,000,000",308,0,339,0,1899,"18,99",1899,0,73,,
305640,305640,Shattered Planet,Kitfox Games,Kitfox Games,,604,414,190,0,"200,000 .. 500,000",303,0,303,0,1499,"14,99",1499,0,2,,
305780,305780,Echo of the Wilds,Anthony Case,Caiysware,,179,137,42,0,"100,000 .. 200,000",201,0,238,0,699,"6,99",699,0,1,,
306550,306550,Runers,LGK Games,Mastertronic,,274,225,49,0,"20,000 .. 50,000",129,0,129,0,999,"9,99",999,0,1,,
307110,307110,We Need To Go Deeper,Deli Interactive LLC,Deli Interactive LLC,,4724,4093,631,0,"500,000 .. 1,000,000",443,26,354,26,1599,"15,99",1599,0,54,,
308420,308420,Ziggurat,Milkstone Studios,Milkstone Studios,,3672,3171,501,0,"200,000 .. 500,000",357,0,207,0,1499,"14,99",1499,0,7,,
311480,311480,Vertical Drop Heroes HD,Nerdook Productions,Digerati,,723,588,135,0,"100,000 .. 200,000",39,0,56,0,699,"6,99",699,0,0,,
311690,311690,Enter the Gungeon,Dodge Roll,Devolver Digital,,66558,63977,2581,0,"2,000,000 .. 5,000,000",1604,32,376,36,1499,"14,99",1499,0,1238,,
311800,311800,Black Ice,Super Duper Garrett Cooper,Super Duper Game Company,,535,510,25,0,"20,000 .. 50,000",54,0,54,0,1999,"19,99",1999,0,1,,
314410,314410,Rampage Knights,Rake in Grass,Rake in Grass,,3327,3084,243,0,"200,000 .. 500,000",478,0,194,0,1199,"11,99",1199,0,21,,
315260,315260,Space Hack,,Meridian4,,760,324,436,0,"100,000 .. 200,000",49,0,68,0,499,"4,99",499,0,2,,
315320,315320,Skilltree Saga,Silent Dreams,Headup Games,,174,56,118,0,"20,000 .. 50,000",519,0,1038,0,999,"9,99",999,0,1,,
315840,315840,Catacomb Kids,FourbitFriday,FourbitFriday,,556,503,53,0,"0 .. 20,000",0,0,0,0,1599,"15,99",1599,0,7,,
317610,317610,Prophour23,The Secret Pie,"The Secret Pie, Kurki.games",,74,50,24,0,"20,000 .. 50,000",200,0,200,0,999,"9,99",999,0,1,,
317820,317820,Guild of Dungeoneering Ultimate Edition,Gambrinous,Gambrinous,,2397,1850,547,0,"200,000 .. 500,000",262,0,233,0,1999,"19,99",1999,0,14,,
