_key,appid,name,developer,publisher,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,,,
34900,34900,Bad Rats: the Rats' Revenge,Invent4 Entertainment,Strategy First,14625,11526,3099,0,"200,000 .. 500,000",176,0,153,0,51,99,48,30,,,
548570,548570,RAGE 2,"id Software, Avalanche Studios",Bethesda Softworks,14524,8928,5596,0,"500,000 .. 1,000,000",1240,0,1274,0,3999,3999,0,140,,,
1190000,1190000,Car Mechanic Simulator 2021,Red Dot Games,PlayWay S.A.,14098,13486,612,0,"200,000 .. 500,000",1606,164,1256,164,2499,2499,0,1883,,,
320300,320300,Car Mechanic Simulator 2015,Red Dot Games,PlayWay S.A.,13956,12875,1081,0,"500,000 .. 1,000,000",1104,8,439,8,1999,1999,0,48,,,
234630,234630,Project CARS,Slightly Mad Studios,"Codemasters, Slightly Mad Studios, Electronic Arts",13816,10866,2950,0,"1,000,000 .. 2,000,000",878,0,310,0,1499,1499,0,146,,,
24740,24740,Burnout Paradise: The Ultimate Box,Criterion Games,Electronic Arts,13096,11402,1694,0,"1,000,000 .. 2,000,000",411,0,156,0,0,0,0,36,,,
362930,362930,Garfield Kart,Artefacts Studio,Microids,12633,11163,1470,0,"500,000 .. 1,000,000",441,0,232,0,499,499,0,68,,,
585420,585420,Trailmakers,Flashbulb,Flashbulb,12604,11586,1018,0,"200,000 .. 500,000",704,449,259,449,2499,2499,0,587,,,
1465360,1465360,SnowRunner,Saber Interactive,Focus Entertainment,12467,10906,1561,0,"200,000 .. 500,000",5182,463,4054,435,2999,2999,0,3100,,,
2990,2990,FlatOut 2,Bugbear Entertainment,Strategy First,12403,11883,520,0,"200,000 .. 500,000",502,0,263,0,199,999,80,142,,,
1262540,1262540,Need for Speed,Ghost Games,Electronic Arts,12264,8708,3556,0,"500,000 .. 1,000,000",635,84,800,148,2999,2999,0,204,,,
420110,420110,NEKOPARA Vol. 2,NEKO WORKs,Sekai Project,12115,11776,339,0,"500,000 .. 1,000,000",226,1,108,1,999,999,0,49,,,
737800,737800,F1 2018,Codemasters,"Codemasters, Electronic Arts",11906,10527,1379,0,"500,000 .. 1,000,000",1805,69,607,92,0,0,0,619,,,
397950,397950,Clustertruck,Landfall,tinyBuild,11889,11068,821,0,"500,000 .. 1,000,000",197,0,148,0,1499,1499,0,74,,,
415200,415200,Motorsport Manager,Playsport Games,SEGA,11554,10597,957,0,"500,000 .. 1,000,000",5079,1996,2393,1996,1999,1999,0,1242,,,
681280,681280,Descenders,RageSquid,No More Robots,11505,10837,668,0,"200,000 .. 500,000",1222,0,759,0,2499,2499,0,328,,,
602520,602520,NEKOPARA Vol. 3,NEKO WORKs,Sekai Project,11390,11069,321,0,"200,000 .. 500,000",244,0,132,0,999,999,0,40,,,
