_key,appid,name,developer,publisher,score_rank,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu
1506850,1506850,Cards & Tankards,"Divergent Realities, LLC","Divergent Realities, LLC",,448,430,18,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,12
1508430,1508430,Kemono Mahjong,Cyberdog Software,Cyberdog Software,,69,64,5,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,5
1508650,1508650,正宗台灣十六張麻將,SOFTSTAR ENTERTAINMENT,SOFTSTAR ENTERTAINMENT,,18,17,1,0,"0 .. 20,000",0,0,0,0,99,"0,99",99,0,3
1508660,1508660,正宗台灣十六張麻將2,SOFTSTAR ENTERTAINMENT,SOFTSTAR ENTERTAINMENT,,24,21,3,0,"0 .. 20,000",2930,0,2930,0,299,"2,99",299,0,0
1508670,1508670,正宗台湾十六张麻将3,SOFTSTAR ENTERTAINMENT,SOFTSTAR ENTERTAINMENT,,24,15,9,0,"0 .. 20,000",596,0,596,0,699,"6,99",699,0,1
1508730,1508730,末日血战,猕猴桃游戏,猕猴桃游戏,,21,9,12,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,7
1509520,1509520,White Girl,Otorakobo Inc.,Otorakobo Inc.,,13,11,2,0,"0 .. 20,000",0,0,0,0,599,"5,99",599,0,0
1510150,1510150,Survival Draw,BovinoSoftware,BovinoSoftware,,6,4,2,0,"0 .. 20,000",0,0,0,0,599,"5,99",599,0,0
1516980,1516980,Crazy Defense Heroes,Animoca Brands Limited,Animoca Brands Limited,,36,14,22,0,"0 .. 20,000",0,0,0,0,0,0,0,0,0
1517120,1517120,Tiny Defender,Blue Heart Games,Blue Heart Games,,7,6,1,0,"0 .. 20,000",0,0,0,0,199,"1,99",199,0,0
1517810,1517810,反图灵测试/Anti-TuringTest,metagalaxy panda,Milk Bottle Studio,,28,25,3,0,"0 .. 20,000",0,0,0,0,1099,"10,99",1099,0,0
1520270,1520270,Kyvir: Rebirth,Dawnblaze Entertainment,AplusGames,,394,331,63,0,"0 .. 20,000",1,0,1,0,799,"7,99",799,0,0
1520610,1520610,BlackJack Math Cross Numbers,Heavy Sheep,Heavy Sheep,,12,11,1,0,"0 .. 20,000",0,0,0,0,199,"1,99",199,0,0
1520900,1520900,Castle Cardians,风宇冲,方块游戏(CubeGame),,97,84,13,0,"0 .. 20,000",215,0,215,0,1499,"14,99",1499,0,5
1522470,1522470,Deck Adventurers - Origins,Junjo,Junjo,,15,15,0,0,"0 .. 20,000",0,0,0,0,699,"6,99",699,0,0
1524150,1524150,Tales of Farhollow,Gabaghoul Games LLC,Gabaghoul Games LLC,,5,5,0,0,"0 .. 20,000",0,0,0,0,199,"1,99",199,0,0
1524530,1524530,Fantasy Town Regional Manager,Caps Collective,Caps Collective,,69,55,14,0,"20,000 .. 50,000",0,0,0,0,999,"9,99",999,0,1
1526160,1526160,Four Kings: Video Poker,Digital Leisure Inc.,Digital Leisure Inc.,,4,4,0,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,0
1526600,1526600,MaJiang,"Chengdu Haidaohai Technology Co., Ltd.","Chengdu Haidaohai Technology Co., Ltd.",,10,2,8,0,"0 .. 20,000",0,0,0,0,99,"0,99",99,0,0
1531780,1531780,废土黄昏 Dusk of the wasteland age,香蜂草,香蜂草,,8,5,3,0,"0 .. 20,000",0,0,0,0,99,"0,99",99,0,0
1533680,1533680,Dead Grid,ATOM VOID,ATOM VOID,,176,164,12,0,"0 .. 20,000",123,0,123,0,999,"9,99",999,0,11
1537390,1537390,Goddess Of Card War,小小游戏工作室,小小游戏工作室,,22,18,4,0,"0 .. 20,000",0,0,0,0,399,"3,99",399,0,0
1537480,1537480,玉言·离光,DawnLight Workshop,MedusasGame,,154,121,33,0,"0 .. 20,000",12,0,12,0,699,"6,99",699,0,0
1537940,1537940,Bow & Crystal Tower Defense,Hede,Hede,,6,2,4,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,0
1540740,1540740,Dungen,SVGames,SVGames,,6,4,2,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,0
1543550,1543550,Eviron's Chronicles,Time Stealers Studio,Time Stealers Studio,,19,14,5,0,"0 .. 20,000",0,0,0,0,0,0,0,0,1
1543750,1543750,Jewel Match Atlantis Solitaire 2 - Collector's Edition,Suricate Software,Grey Alien Games,,15,14,1,0,"0 .. 20,000",0,0,0,0,1299,"12,99",1299,0,6
