_key,appid,name,developer,publisher,score_rank,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu,,
251730,251730,Legend of Grimrock 2,Almost Human Games,Almost Human Games,,3205,2921,284,0,"200,000 .. 500,000",706,0,282,0,2399,"23,99",2399,0,53,,
251990,251990,Long Live The Queen,Hanako Games,Hanako Games,,6699,6370,329,0,"200,000 .. 500,000",366,0,288,0,999,"9,99",999,0,32,,
252570,252570,Depths of Fear :: Knossos,Dirigo Games,Digital Tribe,,416,273,143,0,"20,000 .. 50,000",333,0,392,0,0,0,0,0,0,,
252610,252610,Death Road to Canada,"Rocketcat Games, Madgarden",Rocketcat Games,,6539,6090,449,0,"200,000 .. 500,000",453,104,274,104,1499,"14,99",1499,0,67,,
252630,252630,Eldritch,Minor Key Games,Minor Key Games,,2047,1798,249,0,"200,000 .. 500,000",282,0,195,0,1499,"14,99",1499,0,5,,
252870,252870,PULSAR: Lost Colony,Leafy Games,Leafy Games,,4636,4247,389,0,"200,000 .. 500,000",1182,0,1263,0,2499,"24,99",2499,0,122,,
253630,253630,Steam Marines,Worthless Bums,Red Barrels,,323,165,158,0,"100,000 .. 200,000",307,0,438,0,1999,"19,99",1999,0,0,,
254320,254320,Duskers,Misfits Attic,Misfits Attic,,2144,1930,214,0,"200,000 .. 500,000",147,0,230,0,1999,"19,99",1999,0,21,,
255070,255070,Abyss Odyssey,ACE Team,SEGA,,2428,1517,911,0,"100,000 .. 200,000",323,0,373,0,1499,"14,99",1499,0,3,,
257120,257120,Not The Robots,2DArray,tinyBuild,,552,442,110,0,"100,000 .. 200,000",271,0,305,0,999,"9,99",999,0,0,,
257850,257850,Hyper Light Drifter,Heart Machine,Heart Machine,,15071,14134,937,0,"500,000 .. 1,000,000",459,0,199,0,1999,"19,99",1999,0,55,,
258070,258070,Probability 0,droqen,droqen,,63,47,16,0,"20,000 .. 50,000",0,0,0,0,699,"6,99",699,0,0,,
258970,258970,Gauntlet Slayer Edition,Arrowhead Game Studios,WB Games,,8489,6855,1634,0,"1,000,000 .. 2,000,000",485,5,362,5,1999,"19,99",1999,0,70,,
259680,259680,Tales of Maj'Eyal,Netcore Games,Netcore Games,,5352,5114,238,0,"500,000 .. 1,000,000",252,0,265,0,699,"6,99",699,0,160,,
262060,262060,Darkest Dungeon,Red Hook Studios,Red Hook Studios,,112106,102184,9922,0,"2,000,000 .. 5,000,000",1926,269,544,218,2499,"24,99",2499,0,3085,,
262210,262210,Last Knight: Rogue Rider Edition,Toco Games,Toco Games,,223,181,42,0,"20,000 .. 50,000",162,0,162,0,799,"7,99",799,0,1,,
262790,262790,Our Darker Purpose,Avidly Wild Games,Avidly Wild Games,,719,589,130,0,"50,000 .. 100,000",365,0,554,0,1499,"14,99",1499,0,2,,
262810,262810,Super Turbo Demon Busters!,HeroLabs,HeroLabs,,163,90,73,0,"0 .. 20,000",171,0,185,0,1199,"11,99",1199,0,0,,
263080,263080,Pixel Boy and the Ever Expanding Dungeon,Giant Box Games,Giant Box Games,,235,157,78,0,"20,000 .. 50,000",134,0,155,0,0,0,0,0,0,,
263360,263360,3089 -- Futuristic Action RPG,Phr00t's Software,Phr00t's Software,,544,385,159,0,"50,000 .. 100,000",250,0,423,0,699,"6,99",699,0,0,,
264140,264140,Pixel Piracy,Vitali Kirpu,,,6942,4433,2509,0,"100,000 .. 200,000",534,0,419,0,999,"9,99",999,0,11,,
264160,264160,WazHack,Waz,Waz Games,,652,578,74,0,"20,000 .. 50,000",753,0,990,0,999,"9,99",999,0,11,,
264280,264280,99 Levels To Hell,"Zaxis Games, B-evil",Zaxis Games,,586,361,225,0,"50,000 .. 100,000",270,0,463,0,499,"4,99",499,0,0,,
264540,264540,Platformines,Magiko Gaming,BANDAI NAMCO Entertainment,,303,197,106,0,"50,000 .. 100,000",242,0,360,0,99,"0,99",99,0,1,,
264690,264690,Coin Crypt,Greg Lobanov,Greg Lobanov,,583,506,77,0,"50,000 .. 100,000",301,0,446,0,999,"9,99",999,0,1,,
265000,265000,FORCED SHOWDOWN,BetaDwarf,BetaDwarf,,641,538,103,0,"50,000 .. 100,000",90,0,179,0,1999,"19,99",1999,0,3,,
265730,265730,Frane: Dragons' Odyssey,ExeCreate Inc.,KEMCO,,9,6,3,0,"0 .. 20,000",0,0,0,0,1299,"12,99",1299,0,0,,
265990,265990,Rogue's Tale,Epixx.org,Epixx.org,,587,419,168,0,"20,000 .. 50,000",131,0,131,0,699,"6,99",699,0,11,,
266110,266110,Tower of Guns,Terrible Posture Games,Versus Evil,,1128,909,219,0,"100,000 .. 200,000",233,0,292,0,1499,"14,99",1499,0,2,,
266210,266210,One Way Heroics,Smoking WOLF,PLAYISM,,3877,3654,223,0,"500,000 .. 1,000,000",284,0,276,0,349,"3,49",349,0,22,,
266510,266510,Hand of Fate,Defiant Development,Defiant Development,,10141,9135,1006,0,"500,000 .. 1,000,000",346,0,246,0,1999,"19,99",1999,0,18,,
268130,268130,Heat Signature,Suspicious Developments,Suspicious Developments,,6265,5941,324,0,"500,000 .. 1,000,000",470,0,414,0,1499,"14,99",1499,0,61,,
268750,268750,Magicite,SmashGames,SmashGames,,7385,6306,1079,0,"500,000 .. 1,000,000",787,0,691,0,999,"9,99",999,0,18,,
268930,268930,Malevolence: The Sword of Ahkranox,Visual Outbreak,Visual Outbreak,,88,61,27,0,"0 .. 20,000",0,0,0,0,2499,"24,99",2499,0,0,,
269210,269210,Hero Siege,"Elias Viglione, Jussi Kukkonen",Panic Art Studios,,32462,24549,7913,0,"1,000,000 .. 2,000,000",1040,1242,315,2173,699,"6,99",699,0,2122,,
269310,269310,Infectonator: Survivors,Toge Productions,Toge Productions,,915,617,298,0,"50,000 .. 100,000",354,0,500,0,999,"9,99",999,0,6,,
269490,269490,Bardbarian,TreeFortress Games,TreeFortress Games,,1455,1291,164,0,"100,000 .. 200,000",229,0,377,0,799,"7,99",799,0,4,,
269590,269590,Claustrophobia: The Downward Struggle,The Indie Forge,The Indie Forge,,198,89,109,0,"20,000 .. 50,000",188,0,188,0,499,"4,99",499,0,0,,
269690,269690,RymdResa,Morgondag,Morgondag,,288,218,70,0,"50,000 .. 100,000",188,0,188,0,1199,"11,99",1199,0,0,,
269770,269770,Secrets of Grindea,Pixel Ferrets,Pixel Ferrets,,5719,5210,509,0,"200,000 .. 500,000",714,0,608,0,1499,"14,99",1499,0,32,,
269990,269990,Infinite Space III: Sea of Stars,Digital Eel,Digital Eel,,115,81,34,0,"20,000 .. 50,000",150,0,159,0,499,"4,99",499,0,1,,
270050,270050,Quest of Dungeons,David Amador,David Amador,,680,519,161,0,"100,000 .. 200,000",117,0,132,0,499,"4,99",499,0,2,,
273500,273500,Over 9000 Zombies!,Loren Lemcke,Loren Lemcke,,1380,1198,182,0,"200,000 .. 500,000",108,0,132,0,199,"1,99",199,0,2,,
274500,274500,Brigador: Up-Armored Edition,"Stellar Jockeys, Gausswerks",Stellar Jockeys,,4451,4227,224,0,"200,000 .. 500,000",228,0,197,0,1999,"19,99",1999,0,25,,
274520,274520,Darkwood,Acid Wizard Studio,Acid Wizard Studio,,12826,12137,689,0,"500,000 .. 1,000,000",497,0,286,0,449,"14,99",1499,70,192,,
